Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),
Configuration Field Inputs,50,50,16,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.0130000053,-60.1216759319,0.101466301653,141.274236826,5.95799235275,118.014595287,2.38253753927,134.739058449,0.16115051329,143.051755206,0.284574278925,144.90506115,1.80558774113,132.026663678,14.6587396555,-53.948804561,0.288230121787,127.417548496,6.72590661237,121.815572958,3.72198771827,-71.74632101,8.70191769025,98.1013753538,25.2144436696,124.565717089,0.370776493103,134.542972523,0.21959993705,133.744958048,0.47993959602,127.598254526,49.9999999905,6.98974603353,
 ,0.02,1.01300000538,-60.121675914,0.101466302808,141.274237445,5.95799096391,118.01459373,2.38253752353,134.739058428,0.161150514053,143.051755436,0.284574281922,144.905061551,1.80558771169,132.026663968,14.6587389584,-53.9488026205,0.288230003593,127.417540909,6.72590656933,121.815572919,3.72198794793,-71.7463221365,8.70191769952,98.1013754597,25.2144438613,124.565717275,0.370776495388,134.542972746,0.219599937144,133.744958076,0.479939596356,127.598254571,49.9999999944,2.57138385098,
 ,0.04,1.01300000534,-60.1216758343,0.101466305389,141.274238513,5.95799072741,118.014593701,2.3825374895,134.739058187,0.161150516583,143.051756053,0.284574290247,144.905062594,1.80558770078,132.026664233,14.6587388624,-53.9488022848,0.288229982799,127.417539658,6.72590644053,121.815572763,3.72198805909,-71.746322129,8.7019177145,98.1013756575,25.2144444181,124.565717823,0.370776502215,134.542973403,0.219599937307,133.744958162,0.479939597138,127.598254704,49.9999999906,0.945959275209,
 ,0.06,1.01300000526,-60.1216756992,0.101466309584,141.274240205,5.95799061744,118.01459409,2.38253743628,134.739057799,0.16115052082,143.051757077,0.284574303848,144.905064285,1.80558768758,132.026664595,14.6587388486,-53.9488021155,0.288229975764,127.417539479,6.72590622498,121.815572499,3.72198819229,-71.7463218649,8.70191775162,98.1013760112,25.2144453361,124.565718728,0.37077651347,134.542974487,0.219599937598,133.744958308,0.479939598441,127.598254926,49.9999999843,0.347999001893,
 ,0.08,1.01300000515,-60.1216755047,0.101466315336,141.274242517,5.95799049929,118.014594743,2.38253736758,134.739057317,0.161150526743,143.051758511,0.284574322351,144.905066592,1.8055876722,132.026665107,14.6587388449,-53.9488019161,0.288229968677,127.417539407,6.72590592197,121.815572132,3.72198837086,-71.7463214568,8.70191782755,98.1013765704,25.2144466016,124.565719983,0.370776528955,134.542975986,0.219599938047,133.744958524,0.479939600275,127.598255243,49.9999999767,0.128021716905,
 ,0.1,1.012939453,-60.1236831205,0.0977039205864,148.49305769,5.84696546744,120.019455698,2.36854404729,135.570490892,0.160972392971,143.404766801,0.282697078293,146.528760696,1.79109994543,133.652523123,14.6578273281,-53.9506742803,0.287452502796,127.853941686,6.72632386186,121.807681715,3.72224626835,-71.8083213461,8.70458463091,98.0849160843,25.2151314,124.560351804,0.370748606939,134.565024701,0.219601212702,133.740361115,0.479947143574,127.595175887,50.0001738086,0.0463595265642,
 ,0.12,1.01293665635,-60.1250847028,0.0980207143708,148.676313825,5.85849708344,120.110380383,2.36965648593,135.588232052,0.161082849717,143.428055319,0.2833658144,146.618804451,1.79374021579,133.701079447,14.6577639748,-53.9520009626,0.287698986756,127.878040331,6.72677878945,121.806709352,3.72163776119,-71.8111701784,8.7060061534,98.086352725,25.2161422348,124.559593451,0.370786454389,134.566902811,0.219606619179,133.739470682,0.479961305587,127.594710392,50.0001973118,0.0168667366398,
 ,0.14,1.01299040792,-60.1256394667,0.10262535585,141.94431998,5.99173627709,118.330854797,2.38685664118,134.811208965,0.161514785749,143.127273275,0.286781942693,145.201055694,1.81393405524,132.201175876,14.65857691,-53.9526653942,0.288767247044,127.483436163,6.72721308077,121.812640305,3.72029704196,-71.7558845525,8.70596191765,98.1048662321,25.2173287133,124.563467667,0.370896774139,134.549305088,0.219615077769,133.742342608,0.479980477103,127.596896942,50.0001322811,0.00637056901498,
 ,0.16,1.01298590941,-60.1276396569,0.103254656106,142.124893188,6.01020368895,118.476655566,2.39013085339,134.842488624,0.161770768855,143.173123217,0.288209959604,145.350487588,1.8186228903,132.271688833,14.6585389092,-53.954717827,0.288878023039,127.500152932,6.72794769273,121.811322248,3.7194980866,-71.7605740767,8.70797210059,98.1066810203,25.2188885339,124.562442123,0.370985340772,134.554427025,0.219622859964,133.741051467,0.480003344432,127.596351701,50.0002174678,0.00200155736471,
 ,0.18,1.01297981963,-60.1285545301,0.10396845692,142.389269043,6.03619977315,118.678721037,2.39478550954,134.896646865,0.162075997455,143.231801414,0.289765049723,145.526208156,1.82511843942,132.373028676,14.6584455037,-53.9556214844,0.289165881153,127.536135933,6.72843784541,121.810433562,3.71858830354,-71.7647370759,8.70892004805,98.1060786629,25.2197926238,124.561831585,0.371090037698,134.562072736,0.2196261968,133.740241657,0.480017998193,127.596177367,50.0001511664,0.00111429143471,
