Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),Phasor-17 Name(upto 16-char),Phasor-17 Type(v/c),Phasor-17 PHNMR(scaling),Phasor-18 Name(upto 16-char),Phasor-18 Type(v/c),Phasor-18 PHNMR(scaling),Phasor-19 Name(upto 16-char),Phasor-19 Type(v/c),Phasor-19 PHNMR(scaling),Phasor-20 Name(upto 16-char),Phasor-20 Type(v/c),Phasor-20 PHNMR(scaling),
Configuration Field Inputs,50,50,20,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,I17,c,100,I18,c,100,I19,c,100,I20,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Phasor-17 Magnitude,Phasor-17 Angle,Phasor-18 Magnitude,Phasor-18 Angle,Phasor-19 Magnitude,Phasor-19 Angle,Phasor-20 Magnitude,Phasor-20 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.04599995477,-20.9053023805,0.233995759925,157.592457959,0.100987276752,146.051724818,0.124297354843,144.62556604,0.373724384419,127.6008292,0.0343205988639,-135.892380386,0.0934084404208,169.941598732,2.67460396086,177.070487283,0.0348506834689,-125.648149888,2.38253753927,-45.2609415505,7.22545186626,-37.2115731605,0.647708856421,174.872346748,0.119652163417,-39.4360230971,0.940602984566,175.207878909,18.1427764222,-36.6736586126,0.349976358035,-38.0172859125,1.13118121518,-39.168378953,0.211318414487,-57.1798614577,0.0493879812668,-34.2581699351,0.169758110128,161.129804597,50.0000001917,2.97013492455,
 ,0.02,1.04599995355,-20.9053026068,0.233995774853,157.592459192,0.100987298411,146.051738485,0.124297380996,144.625579688,0.37372444155,127.600846478,0.0343206048084,-135.892393067,0.0934084548693,169.941600468,2.67460428229,177.070487055,0.0348506856157,-125.648157006,2.38253752353,-45.2609415724,7.22545220622,-37.2115742886,0.647708876039,174.8723465,0.119652146419,-39.4360252073,0.940603029993,175.207878692,18.1427766301,-36.6736594671,0.349976559319,-38.0172818642,1.13118120759,-39.1683789548,0.211318416156,-57.1798621637,0.0493879749885,-34.2581693737,0.169758117759,161.129804384,50.000000092,1.09265202519,
 ,0.04,1.04599995337,-20.9053031069,0.233995807514,157.592461372,0.100987316665,146.051743718,0.124297404048,144.625585163,0.373724511826,127.600857524,0.0343206106527,-135.892412956,0.093408473923,169.941600099,2.67460480304,177.070485199,0.0348506878484,-125.648169269,2.3825374895,-45.2609418134,7.22545214111,-37.2115747397,0.647708933024,174.872346184,0.11965213578,-39.4360268904,0.940603152277,175.207878502,18.1427760087,-36.673660585,0.349976583398,-38.0172816229,1.13118119611,-39.1683793624,0.211318415497,-57.1798626135,0.0493879584481,-34.2581701358,0.169758138914,161.129804614,50.0000000799,0.401964256316,
 ,0.06,1.04599995333,-20.9053038834,0.233995859938,157.592464795,0.100987343229,146.051750003,0.124297437771,144.62559183,0.373724619247,127.600872712,0.03432061939,-135.892444114,0.0934085032097,169.94159918,2.67460561737,177.070482139,0.0348506912157,-125.648188632,2.38253743628,-45.2609422015,7.22545196249,-37.2115752767,0.647709026284,174.872345729,0.119652122227,-39.4360291641,0.940603350172,175.207878227,18.1427749616,-36.6736622193,0.349976576219,-38.0172823258,1.13118118044,-39.1683800399,0.211318414009,-57.1798631978,0.0493879317194,-34.2581715113,0.169758173229,161.129805073,50.0000000993,0.147874282324,
 ,0.08,1.04599995326,-20.9053048654,0.233995930612,157.592469437,0.100987378307,146.051757987,0.124297482319,144.625600319,0.373724762382,127.600892504,0.0343206309659,-135.89248578,0.093408541939,169.941597895,2.67460669712,177.070478059,0.0348506956783,-125.648214544,2.38253736758,-45.260942683,7.22545172362,-37.2115759544,0.647709153104,174.872345188,0.119652104704,-39.4360321219,0.940603616097,175.207877911,18.1427735728,-36.6736643415,0.349976563447,-38.0172832974,1.13118116443,-39.1683809173,0.211318412199,-57.1798639319,0.0493878958325,-34.2581733015,0.169758219425,161.129805757,50.0000001239,0.0543997861095,
 ,0.1,1.03513026192,-20.9080992752,0.24334859053,-179.340292123,0.364204636404,-125.813926665,0.486847348998,-123.839564882,2.01341865274,-111.326656269,0.128527178978,-124.025986545,0.183892591313,-145.082072478,4.38641739799,-146.828476999,0.0742200974984,-121.080859764,2.36854404729,-44.4295091076,7.18787877324,-36.7224751941,0.644942586784,174.021178667,0.118538180231,-38.9965703552,0.950912740452,178.148058002,18.0419278647,-37.5155585966,0.347087920451,-36.5991404494,1.12358927599,-37.4357960666,0.210026940606,-56.6019991576,0.0492331678704,-25.9635729823,0.169008326765,158.595701676,50.0000232259,0.0219426478029,
 ,0.12,1.03503165981,-20.8881223537,0.246488379184,-179.122383958,0.370789882983,-126.319029561,0.493892343984,-124.265213317,2.02385822503,-111.622363864,0.129711568697,-124.79550381,0.187368089339,-145.58169601,4.4404565097,-147.223053566,0.0746987569643,-121.73231877,2.36965648593,-44.4117679479,7.18788264388,-36.7121458547,0.645713466189,174.037495845,0.118326794255,-39.0163477623,0.957604777823,178.201972971,18.0105587602,-37.5469464461,0.347056999312,-36.5835484829,1.12466651013,-37.4083208769,0.210085030433,-56.5852714783,0.0494722532685,-25.903931499,0.168801528193,158.583154755,49.9981581617,0.0174166273181,
 ,0.14,1.04561445845,-20.8262974201,0.244199939903,159.158111116,0.120325631269,155.390248268,0.14784643484,154.12172677,0.43226632518,141.409950273,0.0404610552194,-145.294092169,0.107137126971,171.570985321,2.93390918159,177.39964027,0.0369607770106,-130.921929757,2.38685664118,-45.1887910347,7.22888428789,-37.1697302395,0.649722719661,174.917870536,0.119274311775,-39.4740685461,0.961925626627,175.416724691,18.0598397247,-36.758300986,0.350597007909,-37.9358770556,1.1354190432,-39.0542840459,0.211553292503,-57.1136766785,0.0503056066279,-33.8748567596,0.168885060973,161.091348593,49.9941730998,0.0222059596043,
 ,0.16,1.04559727681,-20.7715775928,0.248890780935,159.42812387,0.123617579454,154.155433648,0.15256037914,153.004291618,0.452577264848,141.237737121,0.0417067786432,-148.897771859,0.11141411023,171.092287801,3.02263878482,176.889251175,0.0372858074901,-133.109983885,2.39013085339,-45.1575113761,7.23440586778,-37.1534429446,0.651220245034,174.971610729,0.119307587142,-39.4998381068,0.974846146243,175.48494247,18.0349713132,-36.7853083935,0.351571072015,-37.9000254742,1.13852375709,-39.0148683796,0.21174816905,-57.0814105223,0.0509544824234,-33.8004287278,0.168320669969,161.123721143,49.9928345689,0.0161349304002,
 ,0.18,1.04548576374,-20.6898931957,0.254163960534,159.898977854,0.130609932104,155.252660447,0.161412515234,154.153620441,0.48193691191,143.537853543,0.044260617795,-152.494517132,0.117145464857,171.204317555,3.1373059352,176.69679643,0.0381267683411,-135.568266704,2.39478550954,-45.1033531345,7.24252903879,-37.1177614015,0.652453325376,175.042848682,0.119332605818,-39.5025443109,0.98807913047,175.597186672,18.0040601579,-36.7987897838,0.352737365289,-37.8358864922,1.14307983069,-38.942563124,0.212025453954,-57.027945955,0.0519184000005,-33.6293571822,0.167443358621,161.15061603,49.9900166539,0.0204036100561,
